PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CABGA256
6,PL11A,7,ULC_GPLL0T_IN,True_OF_PL11B,TRUE,LDQ17,B1
7,PL11B,7,ULC_GPLL0C_IN,Comp_OF_PL11A,TRUE,LDQ17,B2
12,PL14A,7,-,True_OF_PL14B,TRUE,LDQ17,C1
15,PL14B,7,-,Comp_OF_PL14A,TRUE,LDQ17,C2
27,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQ17,G4
24,PL20A,7,-,True_OF_PL20B,TRUE,LDQ17,G5
30,PL23A,7,-,True_OF_PL23B,TRUE,LDQ29,F1
33,PL23B,7,-,Comp_OF_PL23A,TRUE,LDQ29,G2
39,PL26B,7,-,Comp_OF_PL26A,TRUE,LDQ29,H4
36,PL26A,7,-,True_OF_PL26B,TRUE,LDQ29,H5
48,PL32A,7,PCLKT7_1,True_OF_PL32B,TRUE,LDQ29,J1
51,PL32B,7,PCLKC7_1,Comp_OF_PL32A,TRUE,LDQ29,J2
60,PL38A,6,GR_PCLK6_0,True_OF_PL38B,TRUE,LDQ41,K4
63,PL38B,6,-,Comp_OF_PL38A,TRUE,LDQ41,K5
54,PL35A,6,PCLKT6_1,True_OF_PL35B,TRUE,LDQ41,L1
57,PL35B,6,PCLKC6_1,Comp_OF_PL35A,TRUE,LDQ41,L2
72,PL44A,6,-,True_OF_PL44B,TRUE,LDQ41,P1
75,PL44B,6,VREF1_6,Comp_OF_PL44A,TRUE,LDQ41,R1
120,PL68A,6,-,True_OF_PL68B,TRUE,LDQ65,M6
102,PL59A,6,-,True_OF_PL59B,TRUE,LDQ65,N4
122,PL68B,6,-,Comp_OF_PL68A,TRUE,LDQ65,N6
105,PL59B,6,-,Comp_OF_PL59A,TRUE,LDQ65,P3
108,PL62A,6,-,True_OF_PL62B,TRUE,LDQ65,P4
111,PL62B,6,-,Comp_OF_PL62A,TRUE,LDQ65,R3
18,PL17A,7,-,True_OF_PL17B,TRUE,LDQS17,D1
42,PL29A,7,GR_PCLK7_1,True_OF_PL29B,TRUE,LDQS29,G1
66,PL41A,6,-,True_OF_PL41B,TRUE,LDQS41,N1
114,PL65A,6,-,True_OF_PL65B,TRUE,LDQS65,R5
21,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQSN17,E2
45,PL29B,7,-,Comp_OF_PL29A,TRUE,LDQSN29,H2
69,PL41B,6,-,Comp_OF_PL41A,TRUE,LDQSN41,P2
117,PL65B,6,-,Comp_OF_PL65A,TRUE,LDQSN65,T4
363,PR11A,2,URC_GPLL0T_IN,True_OF_PR11B,TRUE,RDQ17,B16
354,PR14B,2,-,Comp_OF_PR14A,TRUE,RDQ17,C15
362,PR11B,2,URC_GPLL0C_IN,Comp_OF_PR11A,TRUE,RDQ17,B15
357,PR14A,2,-,True_OF_PR14B,TRUE,RDQ17,C16
345,PR20A,2,-,True_OF_PR20B,TRUE,RDQ17,G12
342,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQ17,G13
339,PR23A,2,-,True_OF_PR23B,TRUE,RDQ29,F16
336,PR23B,2,-,Comp_OF_PR23A,TRUE,RDQ29,G15
333,PR26A,2,-,True_OF_PR26B,TRUE,RDQ29,H12
330,PR26B,2,-,Comp_OF_PR26A,TRUE,RDQ29,H13
318,PR32B,2,PCLKC2_1,Comp_OF_PR32A,TRUE,RDQ29,J15
321,PR32A,2,PCLKT2_1,True_OF_PR32B,TRUE,RDQ29,J16
306,PR38B,3,-,Comp_OF_PR38A,TRUE,RDQ41,K12
309,PR38A,3,GR_PCLK3_0,True_OF_PR38B,TRUE,RDQ41,K13
312,PR35B,3,PCLKC3_1,Comp_OF_PR35A,TRUE,RDQ41,L15
315,PR35A,3,PCLKT3_1,True_OF_PR35B,TRUE,RDQ41,L16
297,PR44A,3,-,True_OF_PR44B,TRUE,RDQ41,P16
294,PR44B,3,VREF1_3,Comp_OF_PR44A,TRUE,RDQ41,R16
249,PR68A,3,-,True_OF_PR68B,TRUE,RDQ65,M11
247,PR68B,3,-,Comp_OF_PR68A,TRUE,RDQ65,N11
267,PR59A,3,-,True_OF_PR59B,TRUE,RDQ65,N13
261,PR62A,3,-,True_OF_PR62B,TRUE,RDQ65,P13
264,PR59B,3,-,Comp_OF_PR59A,TRUE,RDQ65,P14
258,PR62B,3,-,Comp_OF_PR62A,TRUE,RDQ65,R14
351,PR17A,2,-,True_OF_PR17B,TRUE,RDQS17,D16
327,PR29A,2,GR_PCLK2_1,True_OF_PR29B,TRUE,RDQS29,G16
303,PR41A,3,-,True_OF_PR41B,TRUE,RDQS41,N16
255,PR65A,3,-,True_OF_PR65B,TRUE,RDQS65,R12
348,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQSN17,E15
324,PR29B,2,-,Comp_OF_PR29A,TRUE,RDQSN29,H15
300,PR41B,3,-,Comp_OF_PR41A,TRUE,RDQSN41,P15
252,PR65B,3,-,Comp_OF_PR65A,TRUE,RDQSN65,T13
